;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;
27111460; 0.638; 0.934; 4.099; 0.772; 49.8; 31.9; 49.5; 50.3; 63.6; 1274.0; 1274.0; 498.0; 1270.0; 31:51.846
27131461; 0.621; 0.914; 4.095; 0.772; 49.7; 31.9; 49.5; 50.3; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 32:17.312
27151462; 0.585; 0.878; 4.095; 0.772; 49.8; 31.9; 49.5; 50.3; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 32:39.830
27171463; 0.585; 0.878; 4.095; 0.772; 49.8; 31.9; 49.5; 50.3; 63.5; 1275.0; 1273.0; 497.0; 1270.0; 33:2.586
27191464; 0.585; 0.875; 4.099; 0.772; 49.8; 31.9; 49.5; 50.3; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 33:27.380
27211465; 0.585; 0.881; 4.121; 0.775; 49.8; 31.9; 49.5; 50.3; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 33:50.857
27231466; 0.585; 0.875; 4.134; 0.778; 49.8; 31.9; 49.5; 50.3; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 34:13.797
27251467; 0.595; 0.881; 4.134; 0.782; 49.8; 31.9; 49.5; 50.3; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 34:36.251
27271468; 0.585; 0.875; 4.121; 0.775; 49.7; 31.9; 49.5; 50.3; 63.5; 1275.0; 1274.0; 497.0; 1271.0; 34:58.814
27291469; 0.585; 0.878; 4.095; 0.772; 49.7; 31.9; 49.5; 50.3; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 35:22.227
27311470; 0.585; 0.875; 4.095; 0.772; 49.7; 31.9; 49.5; 50.3; 63.5; 1274.0; 1274.0; 497.0; 1271.0; 35:44.866
27331471; 0.585; 0.875; 4.095; 0.772; 49.7; 31.9; 49.5; 50.3; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 36:7.604
27351472; 0.589; 0.881; 4.095; 0.772; 49.7; 31.9; 49.5; 50.3; 63.5; 1275.0; 1273.0; 497.0; 1271.0; 36:30.988
27371473; 0.585; 0.871; 4.095; 0.768; 49.7; 31.9; 49.5; 50.3; 63.6; 1274.0; 1273.0; 497.0; 1270.0; 36:53.875
27391474; 0.585; 0.875; 4.092; 0.772; 49.7; 31.9; 49.5; 50.3; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 37:16.898
27411475; 0.585; 0.871; 4.095; 0.768; 49.6; 31.9; 49.5; 50.3; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 37:40.35
27431476; 0.585; 0.875; 4.092; 0.768; 49.6; 31.9; 49.5; 50.3; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 38:2.721
27451477; 0.585; 0.875; 4.095; 0.772; 49.6; 31.9; 49.5; 50.3; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 38:25.398
27471478; 0.585; 0.875; 4.095; 0.775; 49.6; 32.0; 49.5; 50.3; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 38:48.316
27491479; 0.585; 0.875; 4.115; 0.768; 49.6; 32.0; 49.5; 50.3; 63.6; 1274.0; 1274.0; 497.0; 1271.0; 39:11.277
27511480; 0.585; 0.875; 4.134; 0.772; 49.6; 32.0; 49.5; 50.3; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 39:33.926
27531481; 0.585; 0.871; 4.121; 0.768; 49.6; 32.0; 49.5; 50.3; 63.6; 1275.0; 1273.0; 497.0; 1270.0; 39:58.32
27551482; 0.592; 0.881; 4.115; 0.768; 49.6; 32.0; 49.4; 50.3; 63.6; 1275.0; 1273.0; 497.0; 1270.0; 40:21.452
27571483; 0.589; 0.875; 4.079; 0.768; 49.6; 32.0; 49.4; 50.3; 63.6; 1274.0; 1273.0; 497.0; 1270.0; 40:44.618
27591484; 0.585; 0.878; 4.095; 0.768; 49.6; 32.0; 49.4; 50.3; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 41:6.965
27611485; 0.585; 0.875; 4.092; 0.772; 49.6; 32.0; 49.4; 50.3; 63.6; 1274.0; 1274.0; 498.0; 1270.0; 41:29.813
27631486; 0.585; 0.875; 4.095; 0.772; 49.6; 32.0; 49.4; 50.3; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 41:52.487
27651487; 0.582; 0.865; 4.095; 0.772; 49.7; 32.0; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 42:15.382
27671488; 0.589; 0.878; 4.121; 0.768; 49.7; 32.0; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 42:37.801
27691489; 0.585; 0.875; 4.15; 0.775; 49.6; 32.0; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 42:59.979
27711490; 0.585; 0.875; 4.154; 0.775; 49.6; 32.0; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1271.0; 43:22.72
27731491; 0.585; 0.871; 4.121; 0.772; 49.6; 32.0; 49.4; 50.3; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 43:44.39
27751492; 0.585; 0.875; 4.134; 0.775; 49.6; 32.0; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 44:6.648
27771493; 0.585; 0.875; 4.144; 0.775; 49.6; 32.0; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 44:30.89
27791494; 0.585; 0.865; 4.108; 0.768; 49.6; 32.0; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 44:52.703
27811495; 0.585; 0.875; 4.121; 0.768; 49.6; 32.0; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 45:15.325
27831496; 0.589; 0.881; 4.128; 0.772; 49.6; 32.0; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 45:37.977
27851497; 0.585; 0.875; 4.125; 0.775; 49.6; 32.0; 49.4; 50.3; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 46:0.672
27871498; 0.585; 0.875; 4.128; 0.775; 49.6; 32.0; 49.4; 50.3; 63.6; 1274.0; 1274.0; 497.0; 1271.0; 46:23.580
27891499; 0.585; 0.868; 4.128; 0.772; 49.6; 32.0; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 46:46.332
27911500; 0.585; 0.875; 4.125; 0.772; 49.7; 32.0; 49.4; 50.2; 63.6; 1274.0; 1273.0; 497.0; 1270.0; 47:8.525
27931501; 0.585; 0.878; 4.125; 0.772; 49.7; 32.0; 49.5; 50.3; 63.6; 1274.0; 1274.0; 497.0; 1271.0; 47:31.317
