#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.FloatSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0,06","7-5-2015 14:29:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666057800000000/"
"0,1","7-5-2015 14:29:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666057600000000/"
"0,13","7-5-2015 14:29:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666057400000000/"
"0,08","7-5-2015 14:28:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666057200000000/"
"0,06","7-5-2015 14:28:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666057000000000/"
"0,08","7-5-2015 14:28:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666056800000000/"
"0,07","7-5-2015 14:27:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666056600000000/"
"0,08","7-5-2015 14:27:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666056400000000/"
"0,08","7-5-2015 14:27:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666056200000000/"
"0,08","7-5-2015 14:26:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666056000000000/"
"0,07","7-5-2015 14:26:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666055800000000/"
"0,09","7-5-2015 14:26:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666055600000000/"
"0,07","7-5-2015 14:25:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666055400000000/"
"0,07","7-5-2015 14:25:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666055200000000/"
"0,1","7-5-2015 14:25:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666055000000000/"
"0,09","7-5-2015 14:24:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666054800000000/"
"3,3","7-5-2015 14:24:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666054600000000/"
"22,68","7-5-2015 14:24:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666054400000000/"
"22,13","7-5-2015 14:23:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666054200000000/"
"22,52","7-5-2015 14:23:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666054000000000/"
"22,79","7-5-2015 14:23:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666053800000000/"
"22,22","7-5-2015 14:22:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666053600000000/"
"22,4","7-5-2015 14:22:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666053400000000/"
"22,6","7-5-2015 14:22:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666053200000000/"
"22,34","7-5-2015 14:21:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666053000000000/"
"21,93","7-5-2015 14:21:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666052800000000/"
"22,68","7-5-2015 14:21:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666052600000000/"
"22,98","7-5-2015 14:20:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666052400000000/"
"19,49","7-5-2015 14:20:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666052200000000/"
"0,12","7-5-2015 14:20:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666052000000000/"
"0,07","7-5-2015 14:19:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666051800000000/"
"0,09","7-5-2015 14:19:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666051600000000/"
"10,4","7-5-2015 14:19:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666051400000000/"
"21,97","7-5-2015 14:18:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666051200000000/"
"21,55","7-5-2015 14:18:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666051000000000/"
"21,95","7-5-2015 14:18:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666050800000000/"
"21,94","7-5-2015 14:17:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635666050600000000/"
